ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,,PHOTOS
DRESSER-NATURAL,5904844917249,Dresser,,"A dresser with
a height-adjustable changing table
Fronts and legs made of solid beech wood.
2 deep drawers + 1 shallower drawer – perfect for 
cosmetics and diapers.
Handles can be mounted at any height and across 
the full width of the dresser.
Adjustable changing table – 4 height levels, 
adjustable every 5 cm (up to 20 cm).
Option to mount the changing table on the right, 
left, or in the center of the dresser.
Stable arched legs – harmoniously matching our cribs.",599,,,NATURAL ,BEECH WOOD,"without changing table
107 cm/ 55 cm/ 82 cm

with changing table
107 cm/ 77 cm/ 82 cm",,,,
DRESSER-WHITE,5904844917232,Dresser,,"A dresser with
a height-adjustable changing table
Fronts and legs made of solid beech wood.
2 deep drawers + 1 shallower drawer – perfect for 
cosmetics and diapers.
Handles can be mounted at any height and across 
the full width of the dresser.
Adjustable changing table – 4 height levels, 
adjustable every 5 cm (up to 20 cm).
Option to mount the changing table on the right, 
left, or in the center of the dresser.
Stable arched legs – harmoniously matching our cribs.",599,,,WHITE,BEECH WOOD,"without changing table
107 cm/ 55 cm/ 82 cm

with changing table
107 cm/ 77 cm/ 82 cm",,,,
DRESSER-GRAY,5904844917225,Dresser,,"A dresser with
a height-adjustable changing table
Fronts and legs made of solid beech wood.
2 deep drawers + 1 shallower drawer – perfect for 
cosmetics and diapers.
Handles can be mounted at any height and across 
the full width of the dresser.
Adjustable changing table – 4 height levels, 
adjustable every 5 cm (up to 20 cm).
Option to mount the changing table on the right, 
left, or in the center of the dresser.
Stable arched legs – harmoniously matching our cribs.",599,,,GRAY,BEECH WOOD,"without changing table
107 cm/ 55 cm/ 82 cm

with changing table
107 cm/ 77 cm/ 82 cm",,,,
DRESSER-GRAPHITE,5904844917218,Dresser,,"A dresser with
a height-adjustable changing table
Fronts and legs made of solid beech wood.
2 deep drawers + 1 shallower drawer – perfect for 
cosmetics and diapers.
Handles can be mounted at any height and across 
the full width of the dresser.
Adjustable changing table – 4 height levels, 
adjustable every 5 cm (up to 20 cm).
Option to mount the changing table on the right, 
left, or in the center of the dresser.
Stable arched legs – harmoniously matching our cribs.",599,,,GRAPHITE,BEECH WOOD,"without changing table
107 cm/ 55 cm/ 82 cm

with changing table
107 cm/ 77 cm/ 82 cm",,,,
DRESSER-OLIVE,5904844917201,Dresser,,"A dresser with
a height-adjustable changing table
Fronts and legs made of solid beech wood.
2 deep drawers + 1 shallower drawer – perfect for 
cosmetics and diapers.
Handles can be mounted at any height and across 
the full width of the dresser.
Adjustable changing table – 4 height levels, 
adjustable every 5 cm (up to 20 cm).
Option to mount the changing table on the right, 
left, or in the center of the dresser.
Stable arched legs – harmoniously matching our cribs.",599,,,OLIVE,BEECH WOOD,"without changing table
107 cm/ 55 cm/ 82 cm

with changing table
107 cm/ 77 cm/ 82 cm",,,,
CHANGING-TABLE-NATURAL,5904844917256,Changing table,,Changing table made of solid beech wood,159,,,NATURAL ,BEECH WOOD,77 cm / 56 cm / 10 cm,,,,
