ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,
2001N-S81-N,5903957708287,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
GRAY,
WHITE DOTS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-SX18-N,5903957708263,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
WHITE,
GRAY STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-SX81-N,5903957708256,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
GRAY,
WHITE STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-P8-N ,5904844912343,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL, 
OWLS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-L8-N,5904844912350,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
FOREST","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001-SMIX-N,5904844910325,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
GREY
STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-8S1-N,5904844910332,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
GREY
STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-38-N,5904844910295,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
BLUE ","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-77-N,5904844910301,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
PINK","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-88-N,5904844910288,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
GRAY, 
WHITE MICE","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
