ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,VAT,WHOLESALE PRICE,RETAIL PRICE,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,
3100-00-N,5904844913487,Playpen,,,,59,,Natural,Beech wood,100 cm/ 100 cm/ 68 or 73 cm,"14,5 kg",105 cm/ 69 cm/ 10 cm,"15,5 kg"
3100-00-W,5904844913494,Playpen,,,,69,,White,Beech wood,100 cm/ 100 cm/ 68 or 73 cm,"14,5 kg",105 cm/ 69 cm/ 10 cm,"15,5 kg"
3100-00-G,5904844913500,Playpen,,,,69,,Gray,Beech wood,100 cm/ 100 cm/ 68 or 73 cm,"14,5 kg",105 cm/ 69 cm/ 10 cm,"15,5 kg"
3100-00-GH,5904844913517,Playpen,,,,75,,Graphite,Beech wood,100 cm/ 100 cm/ 68 or 73 cm,"14,5 kg",105 cm/ 69 cm/ 10 cm,"15,5 kg"
PP-P18,5904844913593,Cover,,,,23,,Gray dots,Beech wood,96 cm/ 96 cm/ 20 cm,,,
3006-N,5904844913524,Playpen,,,,59,,Natural,Beech wood,,,70 cm/ 70 cm/ 12 cm,9 kg
3006-W,5904844913531,Playpen,,,,69,,White,Beech wood,,,70 cm/ 70 cm/ 12 cm,9 kg
3006-G,5904844913548,Playpen,,,,69,,Gray,Beech wood,,,70 cm/ 70 cm/ 12 cm,9 kg
3006-GH,5904844913555,Playpen,,,,75,,Graphite,Beech wood,,,70 cm/ 70 cm/ 12 cm,9 kg
